11	2	WALKING_DOWNSTAIRS	0.2776153	-0.022661416	-0.11681294	0.8618313	-0.325780101	-0.043889016	0.11004062	-3.279591e-03	-2.093517e-02	-0.1159473529	-0.004823292	0.0971738089	-0.05810385	-0.04214703	-0.071022982	0.0899511205	0.0899511205	0.005655163	-0.162188587	-0.41087267	0.11284116	0.278345042	-0.13129077	-2.737116e-01	0.0119309606	0.0903678547	0.138120681	0.096209161	-0.27149872	-0.14389815	-3.575145e-01	-0.234703932	-0.14577597	-0.36191382	-0.08749447	-0.037529802	0.077089456	0.1367749584	0.293424827	0.0938321298	0.222247410	0.0188355111	-0.3208385436	0.1039712417	-0.38017531	-0.0512479641	-2.432911e-02	-0.0063755052
12	2	WALKING_UPSTAIRS	0.2471648	-0.021412113	-0.15251390	0.7907174	-0.416214890	-0.195888239	0.07445078	-9.709855e-03	1.948144e-02	-0.0576912635	-0.032088310	0.0688374022	-0.08288580	-0.04240537	-0.044515748	-0.1073226795	-0.1073226795	-0.321268911	-0.219713473	-0.57281644	-0.26672093	0.009924459	-0.28100199	-2.817480e-01	-0.0618894459	-0.2365890923	-0.258639440	-0.187842132	-0.52272806	-0.04911429	-2.876889e-01	-0.374218485	-0.33164358	-0.48808612	-0.24860112	-0.115324434	-0.130357851	-0.0773418117	-0.145318539	0.1076803952	-0.189511137	-0.0119168234	-0.4506121848	-0.0227527690	-0.60079850	0.0467433991	9.465111e-02	-0.0077546690
13	3	LAYING	0.2755169	-0.018955679	-0.10130048	-0.2417585	0.837032100	0.488703185	0.07698111	1.380410e-02	-4.356259e-03	-0.0208170540	-0.071850716	0.1379995611	-0.10004450	-0.03897718	-0.068733870	-0.9727913461	-0.9727913461	-0.979484593	-0.951564751	-0.98671363	-0.98066561	-0.961169983	-0.96833214	-7.395264e-02	0.2384707514	0.2169716717	-0.980513202	-0.968752114	-0.97912234	0.17597855	-1.317750e-02	0.044819691	-0.97016726	-0.97809968	-0.96234196	-0.082216645	-0.026682011	0.1476864555	-0.965524275	0.2369901279	-0.975949598	0.2386111339	-0.9645867248	-0.0229296115	-0.98427825	0.1106977042	1.789594e-02	0.0166479534
14	3	SITTING	0.2571976	-0.003502998	-0.09835792	0.9010990	0.127303379	0.139020582	0.07260984	2.725291e-03	-4.233484e-03	-0.0385365205	-0.075241003	0.0940113976	-0.10360589	-0.03609099	-0.059007997	-0.8953833502	-0.8953833502	-0.969080753	-0.919354372	-0.97799805	-0.97015444	-0.891907751	-0.91798793	3.129894e-02	-0.0066163057	0.0478619586	-0.974950363	-0.954170151	-0.97084567	0.21573183	-9.591487e-02	-0.043747343	-0.95755064	-0.95617355	-0.93496796	0.052084449	-0.166042259	-0.0387467420	-0.904185726	0.0281600787	-0.965888892	0.2867957698	-0.9466649437	-0.1155257652	-0.97789811	0.0871902339	3.271729e-02	0.0040782968
15	3	STANDING	0.2800465	-0.014337656	-0.10162172	0.9350308	-0.301735130	0.024763107	0.07509006	7.716636e-03	-8.071779e-03	-0.0246626071	-0.058510192	0.0665262054	-0.09946026	-0.04724158	-0.041683216	-0.9254308190	-0.9254308190	-0.959303840	-0.892089349	-0.96233934	-0.96012341	-0.908075354	-0.93950774	-8.702483e-02	-0.1281801301	0.0077189788	-0.957666857	-0.943497974	-0.96917490	0.07495644	-2.581648e-01	-0.112367642	-0.90128227	-0.93771116	-0.91617254	-0.297107442	-0.316011207	-0.2291200911	-0.926968932	-0.0003327540	-0.948627468	0.1298162977	-0.9136823626	-0.3098221614	-0.96033172	-0.0206307818	7.727706e-03	0.0246545251
16	3	WALKING	0.2755675	-0.017176784	-0.11267486	0.9365067	-0.261986358	-0.138107866	0.08147459	1.005915e-02	-5.622646e-03	-0.0256405193	-0.077915094	0.0813485943	-0.09523982	-0.03878747	-0.050361610	-0.2546903333	-0.2546903333	-0.280009317	-0.466411754	-0.56613522	-0.31661401	-0.081302435	-0.41237407	-2.466142e-01	0.1717430030	0.0748536557	-0.304694443	-0.140508590	-0.51413726	-0.21604267	-2.586680e-01	-0.346946648	-0.43784576	-0.56152627	-0.41812622	0.033759690	-0.037989651	-0.0445079739	-0.290031535	0.1134943128	-0.186764517	-0.1171639831	-0.5697557722	0.1809464630	-0.60775165	0.0457622958	5.275028e-02	-0.0763020649
17	3	WALKING_DOWNSTAIRS	0.2924235	-0.019355408	-0.11613984	0.9390578	-0.228829214	-0.102352758	0.07256893	1.097078e-02	-2.027280e-03	-0.1315732765	-0.013935804	0.1238267384	-0.07787017	-0.03915679	-0.041619313	-0.0628126118	-0.0628126118	-0.205239247	-0.215294501	-0.50856758	-0.04217069	-0.007700483	-0.40445241	-3.258637e-01	0.0529065241	-0.0566003045	-0.090670713	-0.135938543	-0.52905945	-0.22959943	-3.560233e-01	-0.274421716	-0.12906657	-0.54269416	-0.30286646	-0.159888621	-0.109972458	0.0910072842	0.028941320	0.0439616686	-0.049477977	0.0434967841	-0.3323766294	-0.0516699550	-0.57627720	0.0654444361	-4.757942e-02	-0.0108494994
18	3	WALKING_UPSTAIRS	0.2608199	-0.032410941	-0.11006486	0.8835334	-0.382851154	-0.162943955	0.04268810	3.972493e-02	2.082055e-02	0.0721980309	-0.139275406	0.0215603697	-0.11551057	-0.04003725	-0.049818087	-0.1840148950	-0.1840148950	-0.436901159	-0.347321812	-0.65886140	-0.39200421	-0.078809416	-0.50449453	-4.612497e-01	-0.1000191622	-0.2788959113	-0.478434306	-0.283772547	-0.67731453	-0.32515113	-4.537898e-01	-0.442664136	-0.37821668	-0.63729351	-0.43150336	-0.145536204	-0.339321488	-0.1020138341	-0.315866079	0.0238218745	-0.412920898	0.0904944092	-0.5142115837	-0.1777305915	-0.71687778	0.0753843585	1.348856e-02	0.1151768012
19	4	LAYING	0.2635592	-0.015003184	-0.11068815	-0.4206647	0.915165104	0.341531311	0.09344942	6.933132e-03	-6.410543e-03	-0.0092315635	-0.093012818	0.1697204041	-0.10501988	-0.03812304	-0.071215629	-0.9545576031	-0.9545576031	-0.970095772	-0.930236463	-0.98506850	-0.95880208	-0.938883374	-0.96750428	-2.741946e-01	0.3662314490	0.2013295920	-0.978542457	-0.943969987	-0.97538333	0.18243648	9.874288e-02	0.077021117	-0.96720374	-0.97218784	-0.96147926	-0.066092182	-0.526889996	0.1528863116	-0.939389701	0.2416978998	-0.962287125	0.2740273496	-0.9615566602	-0.2598519698	-0.98360907	0.2029493815	-2.357753e-03	-0.0155037568
20	4	SITTING	0.2715383	-0.007163065	-0.10587460	0.8693030	0.211622540	0.110120481	0.07845002	-1.085822e-02	-1.215000e-02	-0.0494435116	-0.089430061	0.1011503348	-0.09694948	-0.04184839	-0.048996435	-0.9356948200	-0.9356948200	-0.970132284	-0.926063314	-0.98049046	-0.97746250	-0.905782932	-0.95178374	3.738176e-02	0.0787860093	0.0120942660	-0.976845713	-0.944298391	-0.97515491	0.21301992	-7.528997e-02	0.012245577	-0.96058964	-0.96758365	-0.93377689	0.109092658	-0.394745540	-0.1457260342	-0.929002095	0.0280921106	-0.962500734	0.2271980147	-0.9487697524	-0.2000847576	-0.97654776	0.0859342030	-1.075347e-02	-0.0075990574
21	4	STANDING	0.2804997	-0.009489111	-0.09615749	0.9561978	-0.075900906	0.166893826	0.07213284	-6.530157e-03	-2.118899e-02	-0.0306449342	-0.061824851	0.0755636431	-0.10305789	-0.04612572	-0.049075350	-0.9064780518	-0.9064780518	-0.963370738	-0.900982101	-0.96761407	-0.97349755	-0.889549205	-0.93164342	6.210000e-02	-0.0669875049	-0.0377822772	-0.972310894	-0.937624242	-0.96864841	0.27221398	-1.264506e-01	0.071105663	-0.90546416	-0.95599295	-0.91528096	-0.274809641	-0.364372375	-0.2231091545	-0.917614015	-0.1029717577	-0.956139284	0.2012622073	-0.9142091657	-0.2861283121	-0.96447114	0.0609850024	1.473124e-02	0.0045729089
22	4	WALKING	0.2785820	-0.014839948	-0.11140306	0.9639997	-0.085854027	0.127764113	0.07835291	2.956024e-03	-7.676793e-04	-0.0317982558	-0.072690528	0.0805677161	-0.11532156	-0.03934745	-0.055116685	-0.3120505742	-0.3120505742	-0.366700880	-0.497792201	-0.68130404	-0.42671945	-0.149399633	-0.63100547	-1.385916e-01	0.0123477343	-0.0787892637	-0.358883414	-0.279553392	-0.72899160	-0.13528039	-3.858809e-01	-0.325737504	-0.37338454	-0.68846006	-0.60138113	-0.127154086	-0.274665638	0.1498515347	-0.450804558	0.3820964100	-0.318587811	0.1114864850	-0.6092855880	0.0697301245	-0.72432742	0.2653553740	-1.200978e-02	0.0009211045
23	4	WALKING_DOWNSTAIRS	0.2799653	-0.009802009	-0.10677752	0.9477319	-0.062085277	0.148714809	0.09718627	5.637802e-03	-7.291378e-03	-0.1028388225	-0.070402595	0.0592639495	-0.09212827	-0.03484349	-0.049283644	-0.0491616727	-0.0491616727	-0.228851414	-0.346606293	-0.59284301	-0.07223923	-0.129606639	-0.49468345	-3.422857e-01	0.2135817450	0.0478375670	-0.161632908	-0.172941629	-0.58391737	-0.17911518	-1.812932e-01	-0.169702261	-0.24029889	-0.71754584	-0.31830648	-0.127145377	-0.185485631	0.3770740968	-0.019074335	0.1010781709	-0.175295287	0.0926236938	-0.4292133696	0.0600292046	-0.62175246	0.1444369257	6.337594e-04	-0.0525297219
24	4	WALKING_UPSTAIRS	0.2708767	-0.031980430	-0.11421946	0.9462643	-0.232944305	0.084167538	0.05609719	2.340190e-02	3.402808e-03	0.0393825199	-0.085947168	0.0843753843	-0.13147207	-0.03905088	-0.072249626	-0.1537039354	-0.1537039354	-0.400922255	-0.299779408	-0.68697837	-0.29448827	-0.117109161	-0.52465572	-4.868117e-01	-0.0662348475	-0.2305367066	-0.418304647	-0.297805187	-0.69010693	-0.37965361	-3.927019e-01	-0.319649297	-0.37106899	-0.68431020	-0.35076574	-0.206073104	-0.491527601	-0.1301342081	-0.276825498	-0.1080171717	-0.397406285	0.0497462737	-0.5757940721	-0.1502744792	-0.74074923	0.1795170123	5.920515e-02	-0.0050623654
25	5	LAYING	0.2783343	-0.018304212	-0.10793760	-0.4834706	0.954890346	0.263644692	0.08481648	7.474608e-03	-3.040672e-03	-0.0218935014	-0.079870960	0.1598943669	-0.10211413	-0.04044469	-0.070830969	-0.9667778829	-0.9667778829	-0.980141254	-0.946938301	-0.98641942	-0.96874168	-0.965419521	-0.97700772	-1.356325e-01	0.4665282318	0.1323108713	-0.982689657	-0.965328566	-0.98325031	0.23991516	1.956773e-01	0.091693879	-0.97579749	-0.97824965	-0.96320295	-0.022723586	0.068124848	0.0413600281	-0.962234984	0.2920320950	-0.977356380	0.1970050015	-0.9682570688	0.1024417659	-0.98461803	0.0247367107	2.120919e-02	0.0553647963
26	5	SITTING	0.2736941	-0.009900835	-0.10854030	0.8807314	0.168445524	0.143006858	0.07495774	-2.787733e-03	3.386096e-03	-0.0422355210	-0.083548408	0.0823934452	-0.08897477	-0.04547030	-0.048771473	-0.9379783225	-0.9379783225	-0.969320156	-0.934301647	-0.97384829	-0.97745081	-0.921434736	-0.94606422	-2.093305e-02	0.0684590034	0.0403161796	-0.976024951	-0.954237490	-0.96950133	0.07573562	-1.318617e-01	-0.064496073	-0.95711725	-0.95546036	-0.93800343	0.125891359	-0.187706341	0.0966833908	-0.936290605	0.0586075165	-0.964440302	0.2459367175	-0.9447603220	-0.0057835009	-0.97159837	0.0812901326	2.870365e-02	-0.0209532539
27	5	STANDING	0.2825444	-0.007004186	-0.10217110	0.9601887	-0.038710127	0.138638437	0.07251899	-2.219902e-03	-1.228122e-02	-0.0322711903	-0.050987505	0.0690945764	-0.09222499	-0.03991082	-0.042222134	-0.9061047011	-0.9061047011	-0.956863566	-0.900671631	-0.95840590	-0.96450092	-0.890796361	-0.91508380	-1.640668e-02	-0.0089441319	-0.0282875225	-0.963059235	-0.931370209	-0.95843873	0.15046308	-1.436818e-01	-0.033363702	-0.90966180	-0.93937352	-0.90719084	-0.178598411	-0.162944927	-0.1091803638	-0.904641392	-0.0169422323	-0.941825903	0.1409716007	-0.9045439216	-0.1577688712	-0.95228644	-0.0393135966	-8.608569e-03	-0.0057222439
28	5	WALKING	0.2778423	-0.017285032	-0.10774178	0.9726250	-0.100440285	0.002476236	0.08458888	-1.631941e-02	8.321594e-05	-0.0488919897	-0.069013525	0.0815435496	-0.08884084	-0.04495595	-0.048267960	-0.1583386744	-0.1583386744	-0.288333024	-0.355933084	-0.44453249	-0.28778261	0.009460378	-0.49025109	-3.223820e-01	-0.0020405110	0.0247389729	-0.344954806	-0.181055554	-0.59049662	-0.35937258	-5.340498e-01	-0.344150925	-0.37266875	-0.51395172	-0.21312703	-0.045860194	-0.019186012	0.1674578191	-0.304992489	0.1498525222	-0.269481661	-0.0049728779	-0.4842628289	0.2506206098	-0.54805357	0.0527330125	-3.228682e-02	-0.0117215776
29	5	WALKING_DOWNSTAIRS	0.2935439	-0.008501075	-0.10031993	0.9566494	-0.060757832	0.021677791	0.10965060	1.376182e-02	2.133977e-02	-0.0682945699	-0.070780600	0.0806559990	-0.11014901	-0.07082966	-0.039965694	0.2111388536	0.2111388536	-0.063752856	-0.218029835	-0.39719562	0.09843201	0.079228069	-0.37474009	-4.535245e-01	0.0363662394	-0.0043722037	-0.036801215	-0.056803296	-0.49197995	-0.35091162	-4.709947e-01	-0.303523361	-0.29534510	-0.38248308	-0.03417503	-0.008922866	-0.007642421	0.2115558070	0.155742169	-0.0137055065	0.009183943	0.1109680648	-0.3493384147	0.2046337575	-0.45369725	0.0723815085	-3.973846e-02	-0.0414008516
30	5	WALKING_UPSTAIRS	0.2684595	-0.032526976	-0.10747145	0.9368218	-0.265942569	-0.023203536	0.07954435	1.401304e-02	-2.559095e-02	0.0395191121	-0.117195552	0.0424442819	-0.14302969	-0.05598958	-0.053489540	0.0435562022	0.0435562022	-0.247403477	-0.235516929	-0.47348817	-0.16148534	0.072890316	-0.45747068	-4.277061e-01	-0.1224873239	-0.1352646159	-0.289725470	-0.196817921	-0.60671746	-0.39783558	-5.770094e-01	-0.339640933	-0.26361510	-0.51660905	-0.13980139	-0.061580336	-0.138063832	0.0608132840	-0.169261525	-0.0204948538	-0.264674939	0.1245133002	-0.3925645309	-0.0234001988	-0.57134414	0.0057863112	-2.042244e-02	-0.0772287024
31	6	LAYING	0.2486565	-0.010252917	-0.13311957	-0.4767099	0.956593814	0.175867709	0.09634820	-1.145292e-03	3.288173e-03	-0.0079605027	-0.107218315	0.1791020582	-0.11126728	-0.04241043	-0.071777474	-0.9188788508	-0.9188788508	-0.954750505	-0.908980175	-0.95564574	-0.93911425	-0.923706791	-0.93804491	-2.197299e-01	0.3484187461	0.1614579278	-0.967072437	-0.936043420	-0.95442584	0.01147319	-2.220295e-02	0.078468403	-0.93543977	-0.94177154	-0.93263661	0.102549066	0.023656780	0.0445225538	-0.912351652	0.1446050868	-0.948655471	0.1825250779	-0.9301536395	0.1193175229	-0.95369596	0.1637653187	4.989439e-03	0.0322170354
32	6	SITTING	0.2767785	-0.014591162	-0.11012773	0.9336929	0.068262866	0.069521966	0.07547216	2.556498e-06	6.237278e-03	-0.0372442283	-0.089908330	0.0854346006	-0.09366935	-0.03339867	-0.046550431	-0.9495435313	-0.9495435313	-0.962733502	-0.932703812	-0.96292923	-0.97535145	-0.928264365	-0.93579812	3.046954e-03	0.1233818297	0.0818455300	-0.971037480	-0.947070821	-0.95419979	0.09994006	-1.509345e-01	-0.091348467	-0.93967140	-0.94385739	-0.93476490	0.139409517	-0.129239218	0.0438103633	-0.935750391	0.1289020462	-0.948348654	0.1718445198	-0.9297256793	0.0461735838	-0.95203457	0.1218465020	2.327624e-03	-0.0238156430
33	6	STANDING	0.2803462	-0.018123633	-0.11217283	0.9451390	-0.230251036	0.013919347	0.07306996	8.718840e-03	-4.817122e-03	-0.0282519130	-0.058982364	0.0767394746	-0.10329253	-0.04288283	-0.050643219	-0.9450228765	-0.9450228765	-0.967102436	-0.939404744	-0.96340622	-0.97710029	-0.930336472	-0.94286402	6.645218e-02	-0.0866319978	0.0208815076	-0.973480539	-0.951405465	-0.96374352	0.18655923	-2.510139e-01	-0.071533989	-0.93161238	-0.94327315	-0.94323960	-0.114716166	-0.195978463	-0.0778747191	-0.945949804	0.0373542194	-0.955914005	0.1909436822	-0.9266642970	-0.0701196903	-0.95542514	0.0276252655	1.234945e-02	-0.0073786249
34	6	WALKING	0.2836589	-0.016895419	-0.11030317	0.9580675	-0.214694852	0.033188883	0.06995859	-1.648317e-02	-7.389312e-03	-0.0255096186	-0.074446247	0.0838808799	-0.08788911	-0.03623090	-0.053959728	-0.1668407136	-0.1668407136	-0.195117026	-0.281207841	-0.32129048	-0.18793432	0.140781622	-0.49852016	-1.968417e-01	0.0220734188	0.1851070423	-0.150942918	-0.075374232	-0.54143862	-0.17829518	-4.663058e-01	-0.104129449	-0.23965071	-0.34137843	-0.20357546	0.091240973	0.041626754	0.3028749498	-0.201386608	0.2000903640	-0.055401423	-0.0092288465	-0.3296811234	0.2931096135	-0.36650053	0.1009247318	-6.803471e-02	0.0055953282
35	6	WALKING_DOWNSTAIRS	0.2770453	-0.019536840	-0.10720936	0.9285315	-0.214046334	-0.003079817	0.10368134	9.876858e-03	-9.324706e-03	-0.0960837438	-0.034178221	0.0870012595	-0.02564522	-0.07680899	-0.037222865	0.3337547315	0.3337547315	0.103845072	0.014267782	-0.08293669	0.32830851	0.339771174	-0.27760259	-4.116493e-01	0.0219111782	0.3062531664	0.136554991	0.137202452	-0.28308621	-0.31575769	-4.843437e-01	-0.034825425	0.06337161	-0.13032747	0.15284525	0.001504466	0.151125875	0.3029636429	0.395958035	0.1064794823	0.243834259	-0.0016065950	-0.0143735434	0.2306930285	-0.13270538	0.0369462966	-4.530852e-02	-0.0358369679
36	6	WALKING_UPSTAIRS	0.2682294	-0.027242539	-0.12208244	0.9136322	-0.340732609	-0.018460896	0.07210675	3.713434e-03	-2.378166e-03	-0.0767406826	-0.051898199	0.0664234026	-0.06520245	-0.04577054	-0.057680005	0.0177790974	0.0177790974	-0.207379799	-0.129121244	-0.34289537	-0.13107537	0.097803510	-0.42724810	-4.451206e-01	-0.0948830033	-0.0667867912	-0.244812770	-0.122991594	-0.54931462	-0.44195912	-5.011703e-01	-0.401683802	-0.11506501	-0.32965378	-0.04641421	-0.055914015	-0.129471191	0.0102927666	-0.081947940	-0.0140154346	-0.169868234	-0.0612378408	-0.2306270151	0.0144807317	-0.45923633	0.0285053836	8.641381e-03	0.0032111740
